0002-0152	Zepbound
0002-0152	tirzepatide
0002-0213	Humulin
0002-0213	Insulin human
0002-0800	Sterile Diluent
0002-0800	diluent
0002-1152	MOUNJARO
0002-1200	Amyvid
0002-1200	Florbetapir F 18
0002-1220	TAUVID
0002-1220	Flortaucipir F-18
0002-1433	Trulicity
0002-1433	Dulaglutide
0002-1436	EMGALITY
0002-1436	galcanezumab-gnlm
0002-1445	TALTZ
0002-1445	ixekizumab
0002-2457	ZEPBOUND
0002-2980	RETEVMO
0002-2980	selpercatinib
0002-3227	Strattera
0002-3227	Atomoxetine hydrochloride
0002-3230	Symbyax
0002-3230	Olanzapine and Fluoxetine hydrochloride
0002-3235	Cymbalta
0002-3235	Duloxetine hydrochloride
0002-4112	Zyprexa
0002-4112	Olanzapine
0002-4182	Olumiant
0002-4182	baricitinib
0002-4184	Evista
0002-4184	Raloxifene hydrochloride
0002-4312	Reyvow
0002-4312	lasmiditan
0002-4453	ZYPREXA
0002-4462	Cialis
0002-4462	Tadalafil
0002-4483	Verzenio
0002-4483	abemaciclib
0002-6145	Baqsimi
0002-6145	glucagon
0002-6885	Baricitinib
0002-6902	JAYPIRCA
0002-6902	pirtobrutinib
0002-7510	Humalog
0002-7510	Insulin lispro
0002-7575	Omvoh
0002-7575	mirikizumab-mrkz
0002-7589	Bebtelovimab
0002-7623	Alimta
0002-7623	Pemetrexed disodium
0002-7635	Olanzapine pamoate
0002-7669	CYRAMZA
0002-7669	ramucirumab
0002-7715	BASAGLAR
0002-7715	Insulin glargine
0002-7716	Portrazza
0002-7716	necitumumab
0002-7728	LYUMJEV
0002-7728	Insulin lispro-aabc
0002-7737	Insulin Lispro
0002-8031	Glucagon
0002-8147	HUMATROPE
0002-8147	Somatropin
0002-8233	Insulin Lispro Protamine and Insulin Lispro Injectable Suspension
0002-8400	Forteo
0002-8400	Teriparatide
0002-8980	Rezvoglar
0002-8980	Insulin glargine-aglr
0003-0249	HALOG
0003-0249	Halcinonide
0003-0293	KENALOG-40
0003-0293	TRIAMCINOLONE ACETONIDE
0003-0315	KENALOG-80
0003-0371	NULOJIX
0003-0371	BELATACEPT
0003-0494	KENALOG-10
0003-0524	SPRYCEL
0003-0524	dasatinib
0003-0830	HYDREA
